axis,key,label,count,status,notice
"training_type","strength","Musculação","207","okWithResults","Eixo coberto por exercicios."
"training_type","cardio","Cardio","65","okWithResults","Eixo coberto por exercicios."
"training_type","martial_arts","Artes marciais","232","okWithResults","Eixo coberto por exercicios."
"training_type","mobility","Mobilidade","193","okWithResults","Eixo coberto por exercicios."
"training_type","elasticity","Elasticidade","132","okWithResults","Eixo coberto por exercicios."
"training_type","recovery","Recuperação","122","okWithResults","Eixo coberto por exercicios."
"training_type","warmup","Aquecimento","131","okWithResults","Eixo coberto por exercicios."
"training_type","activation","Ativação","52","okWithResults","Eixo coberto por exercicios."
"training_type","prevention","Prevenção","44","okWithResults","Eixo coberto por exercicios."
"location","place_home_no_equipment","Casa sem equipamento","69","okWithResults","Eixo coberto por exercicios."
"location","place_home_equipped","Casa equipada","71","okWithResults","Eixo coberto por exercicios."
"location","place_gym","Ginasio","90","okWithResults","Eixo coberto por exercicios."
"location","place_dojo","Dojo","71","okWithResults","Eixo coberto por exercicios."
"location","place_tatami","Tatami","71","okWithResults","Eixo coberto por exercicios."
"location","place_outdoor","Exterior","73","okWithResults","Eixo coberto por exercicios."
"location","place_work_travel","Trabalho ou viagem","69","okWithResults","Eixo coberto por exercicios."
"location","place_clinic","Clinica ou fisioterapia","69","okWithResults","Eixo coberto por exercicios."
"equipment","bodyweight","Peso corporal","610","okWithResults","Eixo coberto por exercicios."
"equipment","floor","Chão livre","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","wall","Parede estável","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","free_space","Espaço livre","2","okWithResults","Eixo coberto por exercicios."
"equipment","mat","Tapete / colchonete","146","okWithResults","Eixo coberto por exercicios."
"equipment","chair_support","Banco / cadeira / apoio","77","okWithResults","Eixo coberto por exercicios."
"equipment","bench","Banco estável","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","weighted_backpack","Mochila com peso","2","okWithResults","Eixo coberto por exercicios."
"equipment","water_bottles","Garrafas de água","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","water_jug","Garrafão de água","1","okWithResults","Eixo coberto por exercicios."
"equipment","stable_step","Degrau / escada estável","7","okWithResults","Eixo coberto por exercicios."
"equipment","sturdy_table","Mesa resistente","1","okWithResults","Eixo coberto por exercicios."
"equipment","broomstick","Cabo de vassoura","9","okWithResults","Eixo coberto por exercicios."
"equipment","towel","Toalha","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","none","Nenhum equipamento","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","other","Outro","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","dumbbells","Halteres","75","okWithResults","Eixo coberto por exercicios."
"equipment","barbell","Barra","26","okWithResults","Eixo coberto por exercicios."
"equipment","plates","Discos","2","okWithResults","Eixo coberto por exercicios."
"equipment","kettlebell","Kettlebell","2","okWithResults","Eixo coberto por exercicios."
"equipment","medicine_ball","Medicine ball","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","sandbag","Saco de areia","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","weighted_vest","Colete com peso","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","ankle_weights","Tornozeleiras com peso","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","pullup_bar","Barra fixa","13","okWithResults","Eixo coberto por exercicios."
"equipment","parallel_bars","Paralelas","2","okWithResults","Eixo coberto por exercicios."
"equipment","rings","Argolas","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","trx","TRX / suspensão","0","okEmptyWithExplicitNotice","Sem conteudo especifico; a UI deve mostrar aviso/fallback."
"equipment","bands","Elásticos","55","okWithResults","Eixo coberto por exercicios."
