axis,key,label
"training_types","strength","Musculação"
"training_types","cardio","Cardio"
"training_types","martial_arts","Artes marciais"
"training_types","mobility","Mobilidade"
"training_types","elasticity","Elasticidade"
"training_types","recovery","Recuperação"
"training_types","warmup","Aquecimento"
"training_types","activation","Ativação"
"training_types","prevention","Prevenção"
"locations","place_home_no_equipment","Casa sem equipamento"
"locations","place_home_equipped","Casa equipada"
"locations","place_gym","Ginasio"
"locations","place_dojo","Dojo"
"locations","place_tatami","Tatami"
"locations","place_outdoor","Exterior"
"locations","place_work_travel","Trabalho ou viagem"
"locations","place_clinic","Clinica ou fisioterapia"
"equipment","bodyweight","Peso corporal"
"equipment","floor","Chão livre"
"equipment","wall","Parede estável"
"equipment","free_space","Espaço livre"
"equipment","mat","Tapete / colchonete"
"equipment","chair_support","Banco / cadeira / apoio"
"equipment","bench","Banco estável"
"equipment","weighted_backpack","Mochila com peso"
"equipment","water_bottles","Garrafas de água"
"equipment","water_jug","Garrafão de água"
"equipment","stable_step","Degrau / escada estável"
"equipment","sturdy_table","Mesa resistente"
"equipment","broomstick","Cabo de vassoura"
"equipment","towel","Toalha"
"equipment","none","Nenhum equipamento"
"equipment","other","Outro"
"equipment","dumbbells","Halteres"
"equipment","barbell","Barra"
"equipment","plates","Discos"
"equipment","kettlebell","Kettlebell"
"equipment","medicine_ball","Medicine ball"
"equipment","sandbag","Saco de areia"
"equipment","weighted_vest","Colete com peso"
"equipment","ankle_weights","Tornozeleiras com peso"
"equipment","pullup_bar","Barra fixa"
"equipment","parallel_bars","Paralelas"
"equipment","rings","Argolas"
"equipment","trx","TRX / suspensão"
"equipment","bands","Elásticos"
"equipment","mini_bands","Mini bands"
"equipment","ab_wheel","Roda abdominal"
"equipment","jump_rope","Corda de saltar"
"equipment","machine","Máquina multifunções"
"equipment","high_cable","Cabo alto"
"equipment","low_cable","Cabo baixo"
"equipment","adjustable_cable","Polia ajustável"
"equipment","lat_pulldown","Lat pulldown"
"equipment","seated_row_machine","Remo sentado"
"equipment","chest_press_machine","Chest press"
"equipment","shoulder_press_machine","Shoulder press machine"
"equipment","leg_press","Leg press"
"equipment","leg_extension","Extensão de perna"
"equipment","leg_curl","Curl de perna"
"equipment","abductor_machine","Máquina abdutora"
"equipment","adductor_machine","Máquina adutora"
"equipment","smith_machine","Smith machine"
"equipment","squat_rack","Rack / suporte de agachamento"
"equipment","adjustable_bench","Banco regulável"
"equipment","flat_bench","Banco plano"
"equipment","incline_bench","Banco inclinado"
"equipment","decline_bench","Banco declinado"
"equipment","treadmill","Passadeira"
"equipment","bike","Bicicleta"
"equipment","elliptical","Elíptica"
"equipment","rower","Remo ergómetro"
"equipment","stepper","Stepper / escadas"
"equipment","air_bike","Air bike"
"equipment","outdoor_space","Espaço exterior para caminhar/correr"
"equipment","tatami","Tatami / espaço de artes marciais"
"equipment","heavy_bag","Saco de pancada"
"equipment","gloves","Luvas"
"equipment","shin_guards","Caneleiras"
"equipment","pads","Paos / aparadores"
"equipment","gi","Kimono"
"equipment","belt","Cinto / faixa"
"equipment","grappling_dummy","Boneco de grappling"
"equipment","grip_trainer","Grip trainer"
"equipment","foam_roller","Foam roller"
"equipment","massage_ball","Bola de massagem"
"equipment","mobility_band","Elástico de mobilidade"
"equipment","yoga_block","Bloco de yoga"
"equipment","mobility_roller","Rolo de mobilidade"
"equipment","massage_gun","Pistola de massagem"
"surfaces","floor","Chão livre"
"surfaces","mat","Tapete / colchonete"
"surfaces","tatami","Tatami / espaço de artes marciais"
"supports","wall","Parede estável"
"supports","chair_support","Banco / cadeira / apoio"
"supports","bench","Banco estável"
"supports","adjustable_bench","Banco regulável"
"supports","flat_bench","Banco plano"
"supports","incline_bench","Banco inclinado"
"supports","decline_bench","Banco declinado"
"supports","stable_step","Degrau / escada estável"
"supports","sturdy_table","Mesa resistente"
"supports","yoga_block","Bloco de yoga"
"human_contexts","partner","Parceiro"
"body_zones","full_body","Corpo inteiro"
"body_zones","upper","Parte superior"
"body_zones","lower","Parte inferior"
"body_zones","core","Core"
"body_zones","cardio","Cardio"
"body_zones","martial_arts","Artes marciais"
"body_zones","mobility_recovery","Mobilidade e recuperação"
"muscle_groups","neck","Pescoço"
"muscle_groups","traps_scapula","Trapézio / cintura escapular"
"muscle_groups","chest","Peito"
"muscle_groups","back","Costas"
"muscle_groups","shoulders","Ombros"
"muscle_groups","arms","Braços"
"muscle_groups","forearm_hand","Antebraço / punho / mão"
"muscle_groups","hips_glutes","Anca / glúteos"
"muscle_groups","quadriceps","Quadríceps"
"muscle_groups","hamstrings","Posterior de coxa"
"muscle_groups","adductors","Adutores"
"muscle_groups","abductors","Abdutores"
"muscle_groups","calves","Gémeos / sóleo"
"muscle_groups","tibialis","Tibial anterior"
"muscle_groups","feet_ankle","Pés / tornozelo"
"muscle_groups","abdominal","Abdominal"
"muscle_groups","obliques","Oblíquos"
"muscle_groups","transverse_abs","Transverso abdominal"
"muscle_groups","low_back","Lombar"
"muscle_groups","core_stability","Estabilidade do core"
"muscle_groups","anti_rotation","Anti-rotação"
"muscle_groups","anti_extension","Anti-extensão"
"muscle_groups","anti_lateral_flexion","Anti-flexão lateral"
"muscle_groups","cardio_general","Cardio geral"
"muscle_groups","cardio_machine","Máquina de cardio"
"muscle_groups","jump_rope_group","Corda de saltar"
"muscle_groups","outdoor_cardio","Exterior"
"muscle_groups","hiit_group","HIIT"
"muscle_groups","karate","Karate"
"muscle_groups","jiu_jitsu","Jiu-Jitsu"
"muscle_groups","martial_conditioning","Condicionamento para artes marciais"
"muscle_groups","martial_mobility","Mobilidade para artes marciais"
"muscle_groups","grappling_grip","Força de pega para grappling"
"muscle_groups","martial_core","Core para artes marciais"
"muscle_groups","general_mobility","Mobilidade geral"
"muscle_groups","shoulder_mobility","Mobilidade de ombros"
"muscle_groups","hip_mobility","Mobilidade de anca"
"muscle_groups","ankle_mobility","Mobilidade de tornozelo"
"muscle_groups","thoracic_mobility","Mobilidade torácica"
"muscle_groups","stretching","Alongamentos"
"muscle_groups","active_recovery","Recuperação ativa"
"muscle_groups","breathing","Respiração"
"muscle_groups","posture","Postura"
"muscle_groups","custom_workout","Treino personalizado"
"muscles","cervical_stabilizers","cervical stabilizers"
"muscles","anterior_neck","anterior neck"
"muscles","lateral_neck","lateral neck"
"muscles","posterior_neck","posterior neck"
"muscles","upper_traps","upper traps"
"muscles","mid_traps","mid traps"
"muscles","lateral_deltoid","lateral deltoid"
"muscles","lower_traps","lower traps"
"muscles","rhomboids","rhomboids"
"muscles","posterior_deltoid","posterior deltoid"
"muscles","anterior_deltoid","anterior deltoid"
"muscles","deltoid_lateral","deltoid lateral"
"muscles","scapular_stabilizers","scapular stabilizers"
"muscles","teres_minor","teres minor"
"muscles","external_rotators","external rotators"
"muscles","serratus_anterior","serratus anterior"
"muscles","internal_rotators","internal rotators"
"muscles","upper_chest","upper chest"
"muscles","mid_chest","mid chest"
"muscles","lower_chest","lower chest"
"muscles","pectoralis_minor","pectoralis minor"
"muscles","lats","lats"
"muscles","teres_major","teres major"
"muscles","vertical_pulls","vertical pulls"
"muscles","horizontal_rows","horizontal rows"
"muscles","erectors","erectors"
"muscles","quadratus_lumborum","quadratus lumborum"
"muscles","biceps","biceps"
"muscles","brachialis","brachialis"
"muscles","brachioradialis","brachioradialis"
"muscles","triceps_lateral","triceps lateral"
"muscles","triceps_medial","triceps medial"
"muscles","triceps_long","triceps long"
"muscles","forearm_flexors","forearm flexors"
"muscles","wrist","wrist"
"muscles","general_grip","general grip"
"muscles","forearm_extensors","forearm extensors"
"muscles","grip_support","grip support"
"muscles","fingers","fingers"
"muscles","pronators","pronators"
"muscles","supinators","supinators"
"muscles","pinch_grip","pinch grip"
"muscles","anti_lateral_flexion","anti lateral flexion"
"muscles","deep_stability","deep stability"
"muscles","anti_extension","anti extension"
"muscles","transverse_abdominis","transverse abdominis"
"muscles","mid_abs","mid abs"
"muscles","external_obliques","external obliques"
"muscles","internal_obliques","internal obliques"
"muscles","rectus_abdominis","rectus abdominis"
"muscles","upper_abs","upper abs"
"muscles","lower_abs","lower abs"
"muscles","hip_flexors","hip flexors"
"muscles","anti_rotation","anti rotation"
"muscles","glute_max","glute max"
"muscles","rectus_femoris","rectus femoris"
"muscles","vastus_lateralis","vastus lateralis"
"muscles","vastus_medialis","vastus medialis"
"muscles","vastus_intermedius","vastus intermedius"
"muscles","adductors","adductors"
"muscles","glute_med","glute med"
"muscles","biceps_femoris","biceps femoris"
"muscles","semitendinosus","semitendinosus"
"muscles","semimembranosus","semimembranosus"
"muscles","abductors","abductors"
"muscles","glute_min","glute min"
"muscles","calves","calves"
"muscles","ankle","ankle"
"muscles","feet","feet"
"muscles","soleus","soleus"
"muscles","ankle_stability","ankle stability"
"muscles","tibialis_anterior","tibialis anterior"
"muscles","obliques","obliques"
"muscles","quadriceps","quadriceps"
"muscles","hip_external_rotators","hip external rotators"
"muscles","cardiovascular","cardiovascular"
"muscles","treadmill_aerobic","treadmill aerobic"
"muscles","treadmill_intervals","treadmill intervals"
"muscles","treadmill_warmup","treadmill warmup"
"muscles","treadmill_easy","treadmill easy"
"muscles","treadmill_moderate","treadmill moderate"
"muscles","hiit","hiit"
