id,type_key,location_key,equipment_key,region_key,group_key,subzone_key,focus_key,cardio_focus_key,martial_art_key,status,result_count,fallback_count,notice,issue
"strength>place_home_no_equipment>bodyweight>full_body","strength","place_home_no_equipment","bodyweight","full_body","","","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>floor>full_body","strength","place_home_no_equipment","floor","full_body","","","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>wall>full_body","strength","place_home_no_equipment","wall","full_body","","","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper","strength","place_home_no_equipment","bodyweight","upper","","","","","","okWithResults","17","0","Mostra exercicios compativeis.",""
"strength>place_home_no_equipment>bodyweight>upper>neck","strength","place_home_no_equipment","bodyweight","upper","neck","","","","","okWithResults","5","0","Mostra exercicios compativeis.",""
"strength>place_home_no_equipment>bodyweight>upper>neck>neck_complete","strength","place_home_no_equipment","bodyweight","upper","neck","neck_complete","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>neck>anterior_neck","strength","place_home_no_equipment","bodyweight","upper","neck","anterior_neck","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>neck>posterior_neck","strength","place_home_no_equipment","bodyweight","upper","neck","posterior_neck","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>neck>lateral_neck","strength","place_home_no_equipment","bodyweight","upper","neck","lateral_neck","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>neck>cervical_stabilizers","strength","place_home_no_equipment","bodyweight","upper","neck","cervical_stabilizers","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>traps_complete","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","traps_complete","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>upper_traps","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","upper_traps","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>mid_traps","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","mid_traps","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>lower_traps","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","lower_traps","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>traps_scapula>scapular_stability","strength","place_home_no_equipment","bodyweight","upper","traps_scapula","scapular_stability","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
"strength>place_home_no_equipment>bodyweight>upper>chest","strength","place_home_no_equipment","bodyweight","upper","chest","","","","","okWithResults","4","0","Mostra exercicios compativeis.",""
"strength>place_home_no_equipment>bodyweight>upper>chest>chest_complete","strength","place_home_no_equipment","bodyweight","upper","chest","chest_complete","","","","okEmptyWithExplicitNotice","0","0","Não há exercícios disponíveis para este foco com as capacidades atuais. Ativa Mostrar todos para ver o equipamento/local em falta.",""
