"id","type_key","before_status","after_status","before_issue","before_result_count","after_result_count","cause","applied_fix"
"cardio>place_home_no_equipment>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_no_equipment>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_no_equipment>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_no_equipment>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_equipped>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_equipped>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_equipped>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_home_equipped>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_gym>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","13","13","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_gym>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","13","13","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_gym>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","13","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_gym>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","13","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_dojo>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_dojo>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_dojo>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_dojo>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_tatami>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_tatami>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_tatami>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_tatami>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_outdoor>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_outdoor>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_outdoor>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_outdoor>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_work_travel>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_work_travel>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_work_travel>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_work_travel>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_clinic>bodyweight>no_equipment","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_clinic>bodyweight>hiit","cardio","failWrongResults","okWithResults","Resultado fora do tipo esperado: Mountain climbers","12","12","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_clinic>hiit>no_equipment","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"cardio>place_clinic>hiit>hiit","cardio","failWrongResults","path_removed_or_merged","Resultado fora do tipo esperado: Mountain climbers","12","0","falso positivo + foco/equipamento misturado","HIIT normalizado como foco; tipos secundarios/cardio tags aceites como cardio legitimo; result_count corrigido."
"mobility>place_home_no_equipment>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_no_equipment>floor>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_no_equipment>wall>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_no_equipment>mat>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
"mobility>place_home_equipped>bodyweight>general_mobility>general_mobility","mobility","failWrongResults","okWithResults","Resultado fora do tipo esperado: Technical stand-up lento","117","116","rota geral aceitava contexto marcial","Mobilidade geral deixa de aceitar exercicios primariamente marciais."
