"metric","value"
"total_before_b1","1178"
"total_after_b1","1242"
"total_after_b2","1307"
"total_after_b3","1371"
"strength_before_good_v1","207"
"strength_after_b1","271"
"strength_after_b2","336"
"strength_candidate_before_addendum","393"
"strength_after_b3","400"
"wrong_results","0"
"unreachable_exercises","0"
"quality_d_or_e","0"
"validation_flutter_test","passed_506_tests"
"validation_catalog_audit_strict","passed_1371_entries_0_critical_0_warnings"
"validation_build_debug","passed"
"validation_build_release","passed_54_4MB"
