"phase","name","category","section","priority","source","status"
"v0.9.9B4A","Clamshell com mini band","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Clamshell com mini band regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Clamshell com mini band com pausa curta","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Clamshell com mini band em ritmo lento","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Abducao lateral de anca deitado","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Abducao lateral de anca deitado regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Abducao lateral de anca deitado com pausa curta","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Abducao lateral de anca deitado em ritmo lento","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte de gluteos com mini band","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte de gluteos com mini band regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte de gluteos com mini band com pausa curta","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte de gluteos com mini band em ritmo lento","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte unilateral regressiva","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte unilateral regressiva regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte unilateral regressiva com pausa curta","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Ponte unilateral regressiva em ritmo lento","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Monster walk curto","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Monster walk curto regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Monster walk curto com pausa curta","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Monster walk curto em ritmo lento","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Lateral band walk controlado","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Lateral band walk regressivo","ativacao","gluteos e anca","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Dead bug com expiracao guiada","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Dead bug com expiracao regressivo","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Dead bug com expiracao com pausa curta","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Dead bug com expiracao em ritmo lento","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Bird dog com pausa","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Bird dog com pausa regressivo","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Bird dog com pausa com pausa curta","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Bird dog com pausa em ritmo lento","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Pallof press leve com elastico","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Pallof press leve com elastico regressivo","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Pallof press leve com elastico com pausa curta","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Pallof press leve com elastico em ritmo lento","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Prancha curta com joelhos","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
"v0.9.9B4A","Prancha curta com joelhos regressivo","ativacao","core, ombros e escapulas","P0","GOOD_V1_B4A","planned_and_implemented"
