"phase","name","category","section","priority","source","status"
"v0.9.9B4B","Step-down baixo controlado","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Step-down baixo controlado regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Step-down baixo controlado com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Step-down baixo controlado em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Agachamento a caixa com amplitude confortavel","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Agachamento a caixa com amplitude confortavel regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Agachamento a caixa com amplitude confortavel com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Agachamento a caixa com amplitude confortavel em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Split squat curto assistido","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Split squat curto assistido regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Split squat curto assistido com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Split squat curto assistido em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Terminal knee extension com elastico","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Terminal knee extension com elastico regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Terminal knee extension com elastico com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Terminal knee extension com elastico em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall sit curto","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall sit curto regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall sit curto com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall sit curto em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Ponte de gluteos para suporte do joelho","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Ponte de gluteos para suporte do joelho regressivo","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Ponte de gluteos para suporte do joelho com pausa curta","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Ponte de gluteos para suporte do joelho em ritmo lento","prevencao","joelho, anca e lombar","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao externa com elastico junto ao corpo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao externa com elastico junto ao corpo regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao externa com elastico junto ao corpo com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao externa com elastico junto ao corpo em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao interna com elastico leve","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao interna com elastico leve regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao interna com elastico leve com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Rotacao interna com elastico leve em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall slide com elastico","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall slide com elastico regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall slide com elastico com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Wall slide com elastico em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Face pull leve","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Face pull leve regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Face pull leve com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Face pull leve em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Serratus wall slide","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Serratus wall slide regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Serratus wall slide com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Serratus wall slide em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Scapular push-up regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Scapular push-up regressivo regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Scapular push-up regressivo com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Scapular push-up regressivo em ritmo lento","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Y-T-W no banco sem carga","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Y-T-W no banco sem carga regressivo","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
"v0.9.9B4B","Y-T-W no banco sem carga com pausa curta","prevencao","ombro, escapulas e articulacoes pequenas","P0","GOOD_V1_B4B","planned_and_implemented"
