"phase","name","category","context","section","source","status"
"v0.9.9B5A","Kihon oi zuki em avanco","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon oi zuki em avanco em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon oi zuki em avanco com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gyaku zuki parado","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gyaku zuki parado em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gyaku zuki parado com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gedan barai","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gedan barai em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon gedan barai com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon age uke","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon age uke em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon age uke com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon soto uke","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon soto uke em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon soto uke com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon uchi uke","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon uchi uke em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon uchi uke com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mae geri","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mae geri em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mae geri com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mawashi geri baixo","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mawashi geri baixo em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon mawashi geri baixo com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon yoko geri keage","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon yoko geri keage em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Kihon yoko geri keage com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Combinacao defesa e contra-ataque","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Combinacao defesa e contra-ataque em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Combinacao defesa e contra-ataque com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Deslocamento zenkutsu dachi","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Deslocamento zenkutsu dachi em linha","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Deslocamento zenkutsu dachi com pausa tecnica","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Deslocamento kokutsu dachi","artes_marciais","karate","Karate geral e kihon","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco inicial de kata","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco inicial de kata com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco de mudanca de direcao em kata","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco de mudanca de direcao em kata com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco de defesa dupla em kata","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
"v0.9.9B5A","Bloco de defesa dupla em kata com contagem lenta","artes_marciais","karate","kata e bunkai geral","GOOD_V1_B5A","planned_and_implemented"
