"phase","name","category","context","section","source","status"
"v0.9.9B5B","Shrimp basico no tatami","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Shrimp basico no tatami com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Shrimp alternado","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Shrimp alternado com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Ponte de anca para BJJ","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Ponte de anca para BJJ com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Ponte e rotacao para saida","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Ponte e rotacao para saida com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Technical stand up para BJJ","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Technical stand up para BJJ com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Granby roll regressivo","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Granby roll regressivo com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Hip escape em linha","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Hip escape em linha com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sit through controlado","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sit through controlado com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Base sentada para levantamento tecnico","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Base sentada para levantamento tecnico com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mobilidade de guarda sentada","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mobilidade de guarda sentada com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Retencao de guarda com deslocamento da anca","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Retencao de guarda com deslocamento da anca com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sprawl controlado","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sprawl controlado com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Queda tecnica lateral regressiva","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Queda tecnica lateral regressiva com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Rolamento para tras regressivo","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Rolamento para tras regressivo com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Rolamento para frente regressivo","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Rolamento para frente regressivo com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Entrada de double leg sem parceiro","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Entrada de double leg sem parceiro com pausa","artes_marciais","jiu_jitsu","BJJ solo e tatami","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Jab no saco com guarda alta","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Jab no saco com guarda alta controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Direto no saco com rotacao da anca","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Direto no saco com rotacao da anca controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sequencia jab-direto no saco","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Sequencia jab-direto no saco controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Low kick leve no saco","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Low kick leve no saco controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mae geri no aparador","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mae geri no aparador controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mawashi geri baixo no aparador","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Mawashi geri baixo no aparador controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Joelhada frontal no saco","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Joelhada frontal no saco controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Cotovelada tecnica no aparador","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Cotovelada tecnica no aparador controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Saida de linha contra avanco simples","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Saida de linha contra avanco simples controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Guarda de protecao pessoal","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Guarda de protecao pessoal controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Recuo com maos ativas","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Recuo com maos ativas controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Libertacao basica de punho com baixa forca","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
"v0.9.9B5B","Libertacao basica de punho com baixa forca controlado","artes_marciais","defesa_pessoal","saco, defesa e condicionamento","GOOD_V1_B5B","planned_and_implemented"
