"phase","concept_id","name","primary_type","context_key","section","equipment","location","primary_muscle","secondary_muscles","joints","goal","priority","quality"
"v0.9.9B6A","caminhada_leve_na_passadeira","Caminhada leve na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada leve na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","caminhada_leve_na_passadeira_com_controlo_de_respiracao","Caminhada leve na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada leve na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","caminhada_inclinada_na_passadeira","Caminhada inclinada na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada inclinada na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","caminhada_inclinada_na_passadeira_com_controlo_de_respiracao","Caminhada inclinada na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada inclinada na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_leve_na_passadeira","Corrida leve na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida leve na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_leve_na_passadeira_com_controlo_de_respiracao","Corrida leve na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida leve na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_moderada_na_passadeira","Corrida moderada na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida moderada na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_moderada_na_passadeira_com_controlo_de_respiracao","Corrida moderada na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida moderada na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","intervalos_curtos_na_passadeira","Intervalos curtos na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Intervalos curtos na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","intervalos_curtos_na_passadeira_com_controlo_de_respiracao","Intervalos curtos na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Intervalos curtos na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","intervalos_longos_na_passadeira","Intervalos longos na passadeira","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Intervalos longos na passadeira com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","intervalos_longos_na_passadeira_com_controlo_de_respiracao","Intervalos longos na passadeira com controlo de respiracao","cardio","cardio","passadeira","Passadeira","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Intervalos longos na passadeira com controlo de respiracao com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","bicicleta_leve_em_cadencia_estavel","Bicicleta leve em cadencia estavel","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Bicicleta leve em cadencia estavel com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","bicicleta_leve_em_cadencia_estavel_progressivo","Bicicleta leve em cadencia estavel progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Bicicleta leve em cadencia estavel progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","bicicleta_intervalada_moderada","Bicicleta intervalada moderada","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Bicicleta intervalada moderada com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","bicicleta_intervalada_moderada_progressivo","Bicicleta intervalada moderada progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Bicicleta intervalada moderada progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","eliptica_leve_continua","Eliptica leve continua","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Eliptica leve continua com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","eliptica_leve_continua_progressivo","Eliptica leve continua progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Eliptica leve continua progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","eliptica_intervalada_suave","Eliptica intervalada suave","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Eliptica intervalada suave com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","eliptica_intervalada_suave_progressivo","Eliptica intervalada suave progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Eliptica intervalada suave progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","caminhada_rapida_exterior","Caminhada rapida exterior","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada rapida exterior com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","caminhada_rapida_exterior_progressivo","Caminhada rapida exterior progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Caminhada rapida exterior progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_leve_exterior","Corrida leve exterior","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida leve exterior com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","corrida_leve_exterior_progressivo","Corrida leve exterior progressivo","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Corrida leve exterior progressivo com intensidade progressiva e respiracao controlada","GOOD_V1","A"
"v0.9.9B6A","fartlek_iniciante","Fartlek iniciante","cardio","cardio","baixo impacto e exterior","Bicicleta estatica, eliptica, corda ou peso corporal","","sistema cardiovascular","pernas; core; respiracao; ritmo","","treinar Fartlek iniciante com intensidade progressiva e respiracao controlada","GOOD_V1","A"
