"phase","concept_id","name","primary_type","context_key","section","equipment","location","primary_muscle","secondary_muscles","joints","goal","priority","quality"
"v0.9.9B6B","90_90_hip_switch","90-90 hip switch","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","90_90_hip_switch_regressivo","90-90 hip switch regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","90_90_hip_switch_com_pausa_curta","90-90 hip switch com pausa curta","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","90_90_hip_switch_em_ritmo_lento","90-90 hip switch em ritmo lento","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","cars_de_anca_em_quatro_apoios","CARs de anca em quatro apoios","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","cars_de_anca_em_quatro_apoios_regressivo","CARs de anca em quatro apoios regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","cars_de_anca_em_quatro_apoios_com_pausa_curta","CARs de anca em quatro apoios com pausa curta","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","cars_de_anca_em_quatro_apoios_em_ritmo_lento","CARs de anca em quatro apoios em ritmo lento","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","mobilidade_de_anca_em_posicao_de_corredor","Mobilidade de anca em posicao de corredor","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","mobilidade_de_anca_em_posicao_de_corredor_regressivo","Mobilidade de anca em posicao de corredor regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","mobilidade_de_anca_em_posicao_de_corredor_com_pausa_curta","Mobilidade de anca em posicao de corredor com pausa curta","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","mobilidade_de_anca_em_posicao_de_corredor_em_ritmo_lento","Mobilidade de anca em posicao de corredor em ritmo lento","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","rockback_de_adutores","Rockback de adutores","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","rockback_de_adutores_regressivo","Rockback de adutores regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","rockback_de_adutores_com_pausa_curta","Rockback de adutores com pausa curta","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","rockback_de_adutores_em_ritmo_lento","Rockback de adutores em ritmo lento","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","circulos_de_anca_em_pe","Circulos de anca em pe","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","circulos_de_anca_em_pe_regressivo","Circulos de anca em pe regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","circulos_de_anca_em_pe_com_pausa_curta","Circulos de anca em pe com pausa curta","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","circulos_de_anca_em_pe_em_ritmo_lento","Circulos de anca em pe em ritmo lento","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","abertura_de_anca_na_parede","Abertura de anca na parede","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
"v0.9.9B6B","abertura_de_anca_na_parede_regressivo","Abertura de anca na parede regressivo","mobilidade","mobilidade","anca e membros inferiores","peso corporal; parede; banco; elastico","casa; ginasio; dojo","mobilidade da anca","gluteos; adutores; flexores da anca; tornozelo; joelho","anca; joelho; tornozelo; lombar","aumentar amplitude controlada para agachar, correr e pontapear","GOOD_V1","A"
