metric,value
version,1.0.0-rc.1
catalog_entries,1762
unique_canonical_ids,1725
musculacao,400
cardio,100
artes_marciais,360
mobilidade,230
elasticidade,170
recuperacao,147
aquecimento,150
ativacao,110
prevencao,95
matrix_total,1785
ok_with_results,756
ok_with_fallback,3
ok_empty_with_explicit_notice,1026
fail_empty_silent,0
fail_wrong_results,0
fail_incompatible_menu,0
fail_unreachable_content,0
fail_axis_without_coverage,0
axis_total,207
axis_ok_with_results,172
axis_ok_empty_with_explicit_notice,35
critical_issues,0
warnings,0
unreachable_exercises,0
tracked_apks,0
flutter_analyze,passed
flutter_test,passed_535
strict_audit,passed
build_debug,passed
build_release,passed
pixel_manual_test,pending
